"Rententafel AVÃ– 2005-R mit AV, Verschiebung",,,,,,
,,,,,,
YOB,shiftM,shiftMG,shiftF,shiftFG,shiftU,shiftUG
1905,4,4,5,5,,
1906,4,4,5,5,,
1907,4,4,5,5,,
1908,4,4,5,5,,
1909,4,4,5,5,,
1910,4,4,5,5,,
1911,4,4,5,5,,
1912,4,4,5,5,,
1913,4,4,5,5,,
1914,4,4,5,5,,
1915,4,4,5,5,,
1916,4,4,5,5,,
1917,4,4,5,5,,
1918,4,4,5,5,,
1919,4,4,5,5,,
1920,4,4,5,5,,
1921,4,4,5,5,,
1922,4,4,4,5,,
1923,4,4,4,5,,
1924,4,4,4,5,,
1925,4,4,4,4,,
1926,4,4,4,4,,
1927,4,4,4,4,,
1928,4,4,4,4,,
1929,4,4,4,4,,
1930,4,4,4,4,5,5
1931,4,4,4,4,5,5
1932,4,4,4,4,4,5
1933,4,4,4,4,4,5
1934,4,4,4,4,4,5
1935,4,4,4,4,4,4
1936,4,4,3,4,4,4
1937,4,4,3,4,4,4
1938,3,4,3,3,4,4
1939,3,4,3,3,4,4
1940,3,4,3,3,4,4
1941,3,3,3,3,4,4
1942,3,3,3,3,4,4
1943,3,3,3,3,4,4
1944,3,3,3,3,4,4
1945,3,3,3,3,4,4
1946,3,3,2,2,3,4
1947,2,3,2,2,3,4
1948,2,2,2,2,3,3
1949,2,2,2,2,3,3
1950,2,2,2,2,3,3
1951,2,2,2,2,3,3
1952,2,2,2,2,3,3
1953,2,2,1,2,3,3
1954,1,2,1,1,2,3
1955,1,1,1,1,2,2
1956,1,1,1,1,2,2
1957,1,1,1,1,2,2
1958,1,1,1,1,2,2
1959,1,1,1,1,2,2
1960,1,1,1,1,2,2
1961,1,1,0,0,1,2
1962,0,0,0,0,1,1
1963,0,0,0,0,1,1
1964,0,0,0,0,1,1
1965,0,0,0,0,1,1
1966,0,0,0,0,1,1
1967,0,0,0,0,1,1
1968,0,0,0,0,1,1
1969,0,-1,0,0,0,0
1970,-1,-1,-1,-1,0,0
1971,-1,-1,-1,-1,0,0
1972,-1,-1,-1,-1,0,0
1973,-1,-1,-1,-1,0,0
1974,-1,-1,-1,-1,0,0
1975,-1,-1,-1,-1,0,0
1976,-1,-1,-1,-1,0,-1
1977,-1,-1,-1,-1,-1,-1
1978,-1,-2,-1,-1,-1,-1
1979,-2,-2,-1,-1,-1,-1
1980,-2,-2,-1,-2,-1,-1
1981,-2,-2,-2,-2,-1,-1
1982,-2,-2,-2,-2,-1,-1
1983,-2,-2,-2,-2,-1,-1
1984,-2,-2,-2,-2,-1,-1
1985,-2,-2,-2,-2,-2,-2
1986,-2,-2,-2,-2,-2,-2
1987,-2,-2,-2,-2,-2,-2
1988,-2,-3,-2,-2,-2,-2
1989,-2,-3,-2,-2,-2,-2
1990,-3,-3,-2,-2,-2,-2
1991,-3,-3,-2,-2,-2,-2
1992,-3,-3,-2,-3,-2,-2
1993,-3,-3,-2,-3,-2,-2
1994,-3,-3,-3,-3,-2,-3
1995,-3,-3,-3,-3,-3,-3
1996,-3,-3,-3,-3,-3,-3
1997,-3,-3,-3,-3,-3,-3
1998,-3,-3,-3,-3,-3,-3
1999,-3,-3,-3,-3,-3,-3
2000,-3,-4,-3,-3,-3,-3
2001,-3,-4,-3,-3,-3,-3
2002,-3,-4,-3,-3,-3,-3
2003,-4,-4,-3,-3,-3,-3
2004,-4,-4,-3,-3,-3,-4
2005,-4,-4,-3,-3,-3,-4
2006,-4,-4,-3,-3,-4,-4
2007,-4,-4,-3,-3,-4,-4
2008,-4,-4,-3,-4,-4,-4
2009,-4,-4,-3,-4,-4,-4
2010,-4,-4,-3,-4,-4,-4
2011,-4,-4,-4,-4,-4,-4
2012,-4,-4,-4,-4,-4,-4
2013,-4,-4,-4,-4,-4,-4
2014,-4,-4,-4,-4,-4,-4
2015,-4,-5,-4,-4,-4,-5
2016,-4,-5,-4,-4,-4,-5
2017,-4,-5,-4,-4,-4,-5
2018,-4,-5,-4,-4,-5,-5
2019,-4,-5,-4,-4,-5,-5
2020,-4,-5,-4,-4,-5,-5
2021,,,,,-5,-5
2022,,,,,-5,-5
