"Austria: MCMC-Zerlegung der Bevölkerungssterblichkeit, Daten: Statistik Austria seit 1947, Berechnungen: Dr. Jonas Hirz, Dokumentation: vgl. Dokumentation der Pensionstafel AVÖ 2018-P"
,,,,,,,,,,,,,
,MCMC-Parameter,,Parameter alpha,Parameter beta,"Parameter beta, Lee-Carter",Parameter zeta,Parameter eta,Parameter beta; Vergleich MCMC vs. Lee-Carter,,,,,
,Geschlecht,Mann,Mann,Mann,Mann,Frau,Frau,Frau,Frau,Unisex,Unisex,Unisex,Unisex
,Trend seit ,1970,1980,1990,2000,1970,1980,1990,2000,1970,1980,1990,2000
Parameter,Alter,"Mann, 1970","Mann, 1980","Mann, 1990","Mann, 2000","Frau, 1970","Frau, 1980","Frau, 1990","Frau, 2000","Unisex, 1970","Unisex, 1980","Unisex, 1990","Unisex, 2000"
alpha,0,-4.947904314,-4.863377128,-4.807396264,-4.784564815,-5.128678969,-5.034214645,-4.997887229,-5.000638783,-5.031269456,-4.942739535,-4.894530664,-4.883256981
alpha,1,-7.350640635,-7.323118375,-7.297813084,-7.330481498,-7.540261984,-7.476157707,-7.481625507,-7.4451119,-7.439729029,-7.394954742,-7.378295411,-7.381422274
alpha,2,-7.753384727,-7.701683057,-7.648882933,-7.642362084,-7.94237942,-7.853036841,-7.865573241,-7.817368254,-7.867282892,-7.801045793,-7.782690136,-7.772719102
alpha,3,-8.011269125,-7.965943363,-7.902929146,-7.884005339,-8.214002318,-8.122940961,-8.135354174,-8.092408879,-8.13373311,-8.071030639,-8.045577726,-8.051755455
alpha,4,-8.180261309,-8.143321443,-8.095452645,-8.078712995,-8.413398947,-8.347711773,-8.354853925,-8.281848979,-8.318669518,-8.272517852,-8.25486804,-8.253145122
alpha,5,-8.291382587,-8.27938103,-8.267497995,-8.231969273,-8.528039357,-8.486502717,-8.493902858,-8.414986776,-8.429290009,-8.404828006,-8.413451752,-8.399930073
alpha,6,-8.361135324,-8.387529938,-8.384364804,-8.328783246,-8.59722068,-8.568569335,-8.599653904,-8.50859812,-8.491370494,-8.497010379,-8.527939013,-8.493989131
alpha,7,-8.405141868,-8.441032117,-8.453958889,-8.378465335,-8.672437696,-8.63749114,-8.663717029,-8.564260981,-8.549489553,-8.55357533,-8.593327872,-8.541133756
alpha,8,-8.429580696,-8.470579943,-8.48791382,-8.38732682,-8.72511239,-8.683203001,-8.690538574,-8.598112834,-8.583942499,-8.588611948,-8.621449928,-8.55796065
alpha,9,-8.461215856,-8.503966872,-8.490651772,-8.377412157,-8.748856527,-8.693849972,-8.69117988,-8.590077603,-8.614490977,-8.615315732,-8.622320412,-8.544125878
alpha,10,-8.453846334,-8.474013989,-8.46169405,-8.33773677,-8.747569208,-8.706224903,-8.692511418,-8.576518244,-8.609122778,-8.607821995,-8.618836317,-8.523568141
alpha,11,-8.43669769,-8.445448042,-8.39844528,-8.279642399,-8.716238576,-8.68066478,-8.642383404,-8.511655937,-8.595120987,-8.596383966,-8.56699773,-8.464991352
alpha,12,-8.335176615,-8.334732774,-8.29024631,-8.189706575,-8.623148408,-8.583755935,-8.538895241,-8.411119794,-8.491684883,-8.483014725,-8.458179995,-8.371563875
alpha,13,-8.147455076,-8.159182862,-8.124342803,-8.022866388,-8.499923623,-8.455526548,-8.400712689,-8.280046191,-8.324579316,-8.32279994,-8.296882639,-8.207183021
alpha,14,-7.955075027,-7.956707187,-7.901626881,-7.792779316,-8.297802157,-8.263986966,-8.230709737,-8.11905964,-8.129862066,-8.124023085,-8.089728925,-7.983827289
alpha,15,-7.590464988,-7.600413267,-7.552610061,-7.448227456,-8.056577761,-8.035106352,-8.031421766,-7.954185446,-7.797806388,-7.797274171,-7.77298922,-7.671378453
alpha,16,-7.051051073,-7.112841011,-7.144259632,-7.10770799,-7.787535672,-7.784017799,-7.802896766,-7.774021829,-7.313370634,-7.350041647,-7.386919639,-7.352419146
alpha,17,-6.788798487,-6.809672404,-6.826656618,-6.826632901,-7.693380863,-7.717846088,-7.6894076,-7.651360903,-7.117566071,-7.139495283,-7.142205249,-7.120204847
alpha,18,-6.439302561,-6.458911644,-6.485212778,-6.541648604,-7.626532563,-7.640557226,-7.612836806,-7.58802948,-6.832798428,-6.849012079,-6.864469479,-6.893747622
alpha,19,-6.359206926,-6.382675598,-6.377077995,-6.448071488,-7.579473154,-7.59449578,-7.584377309,-7.556672841,-6.762600316,-6.783709115,-6.784775739,-6.82772022
alpha,20,-6.401268965,-6.42009549,-6.401366267,-6.434932701,-7.609099247,-7.612597253,-7.576366484,-7.543323888,-6.810169911,-6.825760053,-6.807395786,-6.822395692
alpha,21,-6.391282083,-6.431778934,-6.401509741,-6.422096222,-7.63674302,-7.636994508,-7.615454735,-7.55933528,-6.80964938,-6.843325859,-6.823442258,-6.822073106
alpha,22,-6.433872112,-6.468971871,-6.461946243,-6.455410017,-7.648198801,-7.636072331,-7.634373693,-7.573719526,-6.847920237,-6.87175229,-6.876105374,-6.853255001
alpha,23,-6.460234899,-6.485395775,-6.483250486,-6.475047713,-7.662548195,-7.656580999,-7.662710176,-7.622669522,-6.875494542,-6.892818287,-6.903711282,-6.893699032
alpha,24,-6.488230806,-6.518502923,-6.502632782,-6.49680598,-7.647456347,-7.658284867,-7.651826485,-7.63485525,-6.893147684,-6.918540903,-6.911361422,-6.916654605
alpha,25,-6.527363713,-6.563963145,-6.542422476,-6.509933744,-7.644598432,-7.666230417,-7.651643251,-7.605032765,-6.927847847,-6.962270115,-6.949020619,-6.915864258
alpha,26,-6.516888246,-6.544552002,-6.542667677,-6.511512849,-7.606758932,-7.611019236,-7.593400481,-7.546476622,-6.908317732,-6.92648765,-6.925079132,-6.889686619
alpha,27,-6.515984556,-6.553236858,-6.578714756,-6.545630486,-7.563510498,-7.591413098,-7.573396159,-7.536465814,-6.901526741,-6.937215661,-6.957966029,-6.926116065
alpha,28,-6.505187479,-6.542957904,-6.555316075,-6.537485944,-7.48852706,-7.505302495,-7.501520969,-7.487456887,-6.87149824,-6.901292858,-6.912173062,-6.900645808
alpha,29,-6.503934882,-6.540529009,-6.554774189,-6.535814783,-7.453876486,-7.463831262,-7.456706343,-7.449361167,-6.866006384,-6.892630234,-6.903130639,-6.891059738
alpha,30,-6.491091921,-6.529932308,-6.546439021,-6.535142132,-7.39938193,-7.421921179,-7.416132537,-7.415667665,-6.844292812,-6.876797643,-6.890620455,-6.888662908
alpha,31,-6.450212139,-6.475142576,-6.496384706,-6.488451059,-7.317591883,-7.354431425,-7.346987949,-7.362449255,-6.790930859,-6.818333497,-6.833922341,-6.841342834
alpha,32,-6.409458215,-6.441851826,-6.452812965,-6.452951172,-7.236795129,-7.257519695,-7.245145809,-7.266411702,-6.740368589,-6.767823234,-6.770143569,-6.784187488
alpha,33,-6.350260577,-6.396896658,-6.403618142,-6.40473276,-7.125337551,-7.136741275,-7.149331648,-7.156237893,-6.662255138,-6.695858885,-6.704592695,-6.711507264
alpha,34,-6.305601593,-6.342520754,-6.343666246,-6.327961391,-7.04604116,-7.073237681,-7.082601031,-7.066013228,-6.60792986,-6.642196356,-6.644860999,-6.626793277
alpha,35,-6.238286229,-6.26159904,-6.266227473,-6.27651117,-6.986822183,-7.007304915,-7.028283901,-7.004805986,-6.54544242,-6.569181679,-6.579604702,-6.580723026
alpha,36,-6.181789724,-6.208902984,-6.208752495,-6.238937986,-6.867598693,-6.87336664,-6.898297307,-6.893673756,-6.46636843,-6.486986704,-6.493863403,-6.512840951
alpha,37,-6.102816125,-6.123995739,-6.141356196,-6.142202339,-6.781031764,-6.792913224,-6.807651617,-6.834844329,-6.387165723,-6.406404196,-6.420919731,-6.431179561
alpha,38,-5.998757373,-6.030994952,-6.046113885,-6.051768247,-6.704942161,-6.722571804,-6.742333257,-6.766426301,-6.294229979,-6.322447924,-6.339525913,-6.350497675
alpha,39,-5.916516193,-5.944590731,-5.94375417,-5.947363511,-6.603522798,-6.626319724,-6.64070222,-6.665377488,-6.205557123,-6.231432902,-6.2345786,-6.241717902
alpha,40,-5.845802048,-5.867758653,-5.881871858,-5.894697901,-6.508334171,-6.540256724,-6.544702259,-6.563326811,-6.127694275,-6.153710268,-6.165345188,-6.17692
alpha,41,-5.733695198,-5.757675018,-5.781387427,-5.797599377,-6.406247014,-6.432537363,-6.427617803,-6.432266224,-6.016703686,-6.042523062,-6.05804706,-6.063710699
alpha,42,-5.640054975,-5.667341765,-5.657979626,-5.69294787,-6.29023864,-6.303560098,-6.302707485,-6.325579673,-5.913390647,-5.937809844,-5.932374751,-5.958751433
alpha,43,-5.541584453,-5.574839871,-5.583036791,-5.596822721,-6.178472718,-6.186370629,-6.181993829,-6.21168342,-5.809293742,-5.837266348,-5.843081801,-5.855520329
alpha,44,-5.455137622,-5.48379907,-5.4963643,-5.517623759,-6.06316808,-6.067469324,-6.0706406,-6.090614786,-5.711981891,-5.736381617,-5.74784233,-5.76050262
alpha,45,-5.347366555,-5.367742475,-5.364940316,-5.391984189,-5.970066543,-5.971356016,-5.96830288,-6.013585103,-5.607565063,-5.626610913,-5.62475265,-5.654266108
alpha,46,-5.228036972,-5.256966362,-5.2500973,-5.238038135,-5.873791561,-5.880032087,-5.882482107,-5.914850205,-5.495547389,-5.521297827,-5.520656262,-5.516063456
alpha,47,-5.135638061,-5.159782976,-5.153438347,-5.168254711,-5.775615901,-5.789444411,-5.778856614,-5.801630408,-5.400828184,-5.42597245,-5.420941605,-5.433824901
alpha,48,-5.029175415,-5.055032253,-5.048994085,-5.065529981,-5.675189919,-5.681284686,-5.657033379,-5.673272025,-5.294810018,-5.318483332,-5.308158832,-5.319985175
alpha,49,-4.918675711,-4.944900599,-4.942920442,-4.944720359,-5.568529452,-5.5801418,-5.580469066,-5.582129576,-5.185718598,-5.211061743,-5.213838105,-5.209953565
alpha,50,-4.829653841,-4.852135174,-4.849205386,-4.856082454,-5.467535327,-5.473326253,-5.464252156,-5.488908927,-5.092565967,-5.11402087,-5.110469273,-5.121718033
alpha,51,-4.724672305,-4.746220105,-4.745899909,-4.742253776,-5.396765014,-5.394956841,-5.397129935,-5.395440167,-5.000141941,-5.017769324,-5.02137332,-5.015282364
alpha,52,-4.621095199,-4.64372994,-4.640604092,-4.642399767,-5.296934668,-5.305973092,-5.300353339,-5.292002954,-4.898442649,-4.919368523,-4.918261195,-4.914358631
alpha,53,-4.51581887,-4.533624169,-4.533589967,-4.522968727,-5.206642321,-5.210095267,-5.200148471,-5.20610979,-4.797767872,-4.81374108,-4.813285121,-4.807522891
alpha,54,-4.390000888,-4.409539915,-4.413489601,-4.392289723,-5.137274282,-5.135989086,-5.13276092,-5.130322981,-4.692049874,-4.707019817,-4.711275176,-4.694681318
alpha,55,-4.323865544,-4.346458813,-4.345686734,-4.346760092,-5.03857673,-5.041200296,-5.037746303,-5.046876283,-4.617139468,-4.635228428,-4.635573063,-4.640231703
alpha,56,-4.228393687,-4.248289495,-4.252273487,-4.236462019,-4.952595282,-4.955307633,-4.949492453,-4.931606529,-4.525650889,-4.541616502,-4.544334689,-4.527404808
alpha,57,-4.119984397,-4.137251874,-4.141078814,-4.131051965,-4.872792105,-4.870247688,-4.866453428,-4.855757315,-4.428591523,-4.44015476,-4.443217998,-4.434543544
alpha,58,-4.036222178,-4.056367111,-4.052943015,-4.04153451,-4.768041468,-4.768649096,-4.761280159,-4.757229553,-4.339225532,-4.352930196,-4.349616701,-4.342418276
alpha,59,-3.961399116,-3.980044611,-3.984589943,-3.969203585,-4.704657744,-4.700979947,-4.69964086,-4.694134742,-4.270686513,-4.281536162,-4.285767768,-4.276684605
alpha,60,-3.853534432,-3.866911122,-3.868829138,-3.88584922,-4.598796605,-4.596710258,-4.597418889,-4.58048742,-4.16528504,-4.172414902,-4.174125673,-4.182749108
alpha,61,-3.754905066,-3.768525265,-3.771720475,-3.78585746,-4.515435624,-4.512692465,-4.513254141,-4.501948211,-4.074898032,-4.080798984,-4.082943356,-4.091217332
alpha,62,-3.679262343,-3.686369709,-3.682859773,-3.703663438,-4.44439086,-4.440129273,-4.432584634,-4.443408136,-4.003557701,-4.004318882,-3.998262749,-4.019564891
alpha,63,-3.595302808,-3.604714795,-3.608954344,-3.615158354,-4.343117935,-4.333572799,-4.334561895,-4.352353013,-3.916477316,-3.916158395,-3.917883711,-3.930623817
alpha,64,-3.517359364,-3.522500863,-3.526735028,-3.549316,-4.253129663,-4.245261043,-4.248591845,-4.272068135,-3.83862557,-3.834893979,-3.837245526,-3.86196089
alpha,65,-3.427838038,-3.430855011,-3.431604755,-3.458875251,-4.170813699,-4.166362884,-4.157496425,-4.175324265,-3.75484802,-3.749592252,-3.746493762,-3.769997509
alpha,66,-3.33729634,-3.339838097,-3.333814236,-3.356970251,-4.077043439,-4.072108889,-4.068940493,-4.104971518,-3.667499638,-3.661142845,-3.655760398,-3.682243633
alpha,67,-3.260812057,-3.264302288,-3.270348144,-3.293831301,-3.985500513,-3.981192582,-3.978721451,-3.995081846,-3.589859483,-3.58393776,-3.585982391,-3.604815724
alpha,68,-3.174542403,-3.174393017,-3.177594625,-3.199477433,-3.891226778,-3.882730677,-3.879225432,-3.906455545,-3.503784869,-3.494344016,-3.49425789,-3.515342134
alpha,69,-3.095664647,-3.099499141,-3.099490871,-3.123839496,-3.795044804,-3.790897093,-3.787504822,-3.815397391,-3.423301116,-3.417273953,-3.415352636,-3.437106982
alpha,70,-3.011741924,-3.013135836,-3.011647365,-3.029144638,-3.702628901,-3.697665405,-3.689823428,-3.707684523,-3.338705568,-3.332096498,-3.327688168,-3.33983437
alpha,71,-2.92136409,-2.925243185,-2.926223569,-2.944563347,-3.589469879,-3.589080335,-3.584677637,-3.610993896,-3.245603792,-3.241700307,-3.238642018,-3.254287461
alpha,72,-2.844891799,-2.849317918,-2.855299003,-2.862802562,-3.486192269,-3.483190047,-3.484594755,-3.50900023,-3.162482352,-3.159066563,-3.160489002,-3.168405019
alpha,73,-2.738943545,-2.744957236,-2.741741657,-2.747152998,-3.382705058,-3.386030188,-3.382149343,-3.400235906,-3.060649021,-3.060934006,-3.055785284,-3.059601315
alpha,74,-2.65025955,-2.656798444,-2.657566563,-2.665242016,-3.258952011,-3.26404822,-3.258316334,-3.272068042,-2.961595814,-2.963507906,-2.959591441,-2.964203028
alpha,75,-2.550848802,-2.559617884,-2.557716888,-2.572512362,-3.142666574,-3.149324674,-3.146282795,-3.158585762,-2.859740003,-2.864415833,-2.860160382,-2.869198685
alpha,76,-2.444172221,-2.453954303,-2.451203188,-2.454518926,-3.00706459,-3.017449895,-3.014521785,-3.019308902,-2.743753794,-2.751045557,-2.746965184,-2.748132965
alpha,77,-2.329563494,-2.341973349,-2.342986572,-2.341171397,-2.878966614,-2.889358821,-2.884712096,-2.885553997,-2.627491148,-2.636865785,-2.633155501,-2.632042922
alpha,78,-2.230962349,-2.243291911,-2.241600917,-2.243074651,-2.755352494,-2.76763021,-2.76317408,-2.769982256,-2.522296022,-2.53317055,-2.528020839,-2.532517671
alpha,79,-2.132817881,-2.147817533,-2.147838886,-2.157192822,-2.621853673,-2.635331758,-2.637561864,-2.636674375,-2.413119692,-2.425575042,-2.424184963,-2.429670556
alpha,80,-1.997116681,-2.012243112,-2.01212742,-2.011270194,-2.457629776,-2.470441704,-2.466601923,-2.471799255,-2.266559957,-2.278607299,-2.274708621,-2.278843285
alpha,81,-1.889004735,-1.901046275,-1.904819638,-1.904264539,-2.31884895,-2.331514651,-2.329955634,-2.333436351,-2.146414309,-2.157955431,-2.156562745,-2.160756416
alpha,82,-1.765524268,-1.780169036,-1.776470073,-1.774584288,-2.170830382,-2.183062244,-2.180346582,-2.181704608,-2.013326598,-2.024419432,-2.021061586,-2.023915783
alpha,83,-1.657480468,-1.66826936,-1.668324332,-1.67149283,-2.032122265,-2.042447076,-2.043052828,-2.044467684,-1.892366994,-1.90183331,-1.901337605,-1.90620427
alpha,84,-1.549039812,-1.559884759,-1.560846741,-1.569023566,-1.890032346,-1.899331032,-1.89775281,-1.899505397,-1.768958635,-1.777584398,-1.77627429,-1.78299311
alpha,85,-1.430315814,-1.43865351,-1.439695698,-1.440329388,-1.739814035,-1.747201129,-1.744871941,-1.738600305,-1.633203012,-1.640349417,-1.638840031,-1.637789364
alpha,86,-1.316908886,-1.325235465,-1.327674196,-1.328612529,-1.600255673,-1.607339801,-1.607006695,-1.606210057,-1.507661784,-1.514043201,-1.514301891,-1.516778292
alpha,87,-1.199414435,-1.204288926,-1.204288201,-1.208004027,-1.472210702,-1.478604816,-1.479580348,-1.476912428,-1.386129273,-1.391694644,-1.392077002,-1.393698636
alpha,88,-1.10294904,-1.109459698,-1.108007125,-1.109461701,-1.338314703,-1.342842891,-1.343599456,-1.349300605,-1.268754183,-1.272783228,-1.272799384,-1.278878632
alpha,89,-0.9900787984,-0.9928039483,-0.9950916017,-0.9958563539,-1.213382537,-1.217245481,-1.216222118,-1.215220153,-1.150144676,-1.15330926,-1.152996361,-1.153866643
alpha,90,-0.8805560408,-0.8835428285,-0.8834164548,-0.8841837114,-1.081364395,-1.083388919,-1.082552552,-1.081206773,-1.027493585,-1.029269705,-1.028611196,-1.028677891
alpha,91,-0.7846770047,-0.7897132543,-0.7886887741,-0.7855053097,-0.9669600376,-0.9704411061,-0.9705244619,-0.9635976466,-0.9209602732,-0.9237150312,-0.9236174152,-0.9185686999
