"Jahr","Alter","Geschlecht","qx"
"2019-2021",73,"F",0.0167129274401076
"2019-2021",73,"U",0.0224018500583735
"2019-2021",74,"M",0.0318691882616243
"2019-2021",74,"F",0.0185050141717054
"2019-2021",74,"U",0.0245805738216958
"2019-2021",75,"M",0.0346788367981003
"2019-2021",75,"F",0.020251623809061
"2019-2021",75,"U",0.0267528218039948
"2019-2021",76,"M",0.0375318512909088
"2019-2021",76,"F",0.0219020529748955
"2019-2021",76,"U",0.0288732317639758
"2019-2021",77,"M",0.0405910841818685
"2019-2021",77,"F",0.0236554670915757
"2019-2021",77,"U",0.031125885051268
"2019-2021",78,"M",0.0441194576083332
"2019-2021",78,"F",0.0258396874314999
"2019-2021",78,"U",0.0338130020559346
"2019-2021",79,"M",0.0483807207299343
"2019-2021",79,"F",0.0287835985385544
"2019-2021",79,"U",0.0372377795237448
"2019-2021",80,"M",0.0536386227063018
"2019-2021",80,"F",0.0328160849566245
"2019-2021",80,"U",0.0417034142004671
"2019-2021",81,"M",0.060135066045196
"2019-2021",81,"F",0.0382271086456415
"2019-2021",81,"U",0.04747917387163
"2019-2021",82,"M",0.0679504928428915
"2019-2021",82,"F",0.0450189693434942
"2019-2021",82,"U",0.0545835701009817
"2019-2021",83,"M",0.0770929781613399
"2019-2021",83,"F",0.0530650357287204
"2019-2021",83,"U",0.0629227247714722
"2019-2021",84,"M",0.0875702557085576
"2019-2021",84,"F",0.0622380683144841
"2019-2021",84,"U",0.0724022296260484
"2019-2021",85,"M",0.0993900591925608
"2019-2021",85,"F",0.0724108276139487
"2019-2021",85,"U",0.0829276764076566
"2019-2021",86,"M",0.112568142495346
"2019-2021",86,"F",0.0835118905404669
"2019-2021",86,"U",0.0944475768411406
"2019-2021",87,"M",0.127170866747751
"2019-2021",87,"F",0.0958220351517519
"2019-2021",87,"U",0.107181267475034
"2019-2021",88,"M",0.143284278665394
"2019-2021",88,"F",0.10975904133126
"2019-2021",88,"U",0.121453432315979
"2019-2021",89,"M",0.160994469039752
"2019-2021",89,"F",0.125740995708388
"2019-2021",89,"U",0.137588991242697
"2019-2021",90,"M",0.180387528662304
"2019-2021",90,"F",0.144185984912533
"2019-2021",90,"U",0.155912864133907
"2019-2021",91,"M",0.201486110324266
"2019-2021",91,"F",0.165333865663654
"2019-2021",91,"U",0.17660189580488
"2019-2021",92,"M",0.223969744683764
"2019-2021",92,"F",0.188460488463724
"2019-2021",92,"U",0.199032025755137
"2019-2021",93,"M",0.247402486093919
"2019-2021",93,"F",0.212517271592738
"2019-2021",93,"U",0.222309652182147
"2019-2021",94,"M",0.271348301887278
"2019-2021",94,"F",0.236455388845218
"2019-2021",94,"U",0.245540970162576
"2019-2021",95,"M",0.295371159396389
"2019-2021",95,"F",0.259226014015684
"2019-2021",95,"U",0.267832174773091
"2019-2021",96,"M",0.320866319646814
"2019-2021",96,"F",0.284185268718931
"2019-2021",96,"U",0.292043340207957
"2019-2021",97,"M",0.346874548064687
"2019-2021",97,"F",0.309025840082395
"2019-2021",97,"U",0.316208182687613
"2019-2021",98,"M",0.373613851660104
"2019-2021",98,"F",0.334272115013944
"2019-2021",98,"U",0.340773582910783
"2019-2021",99,"M",0.401084230433062
"2019-2021",99,"F",0.359924093513577
"2019-2021",99,"U",0.365739540877468
"2019-2021",100,"M",0.429285684383563
"2019-2021",100,"F",0.385981775581294
"2019-2021",100,"U",0.391106056587666
"2019-2021",101,"M",0.458218213511608
"2019-2021",101,"F",0.412445161217096
"2019-2021",101,"U",0.416873130041379
"2019-2021",102,"M",0.487881817817194
"2019-2021",102,"F",0.439314250420982
"2019-2021",102,"U",0.443040761238605
"2019-2021",103,"M",0.518276497300322
"2019-2021",103,"F",0.466589043192952
"2019-2021",103,"U",0.469608950179345
"2019-2021",104,"M",0.549402251960994
"2019-2021",104,"F",0.494269539533006
"2019-2021",104,"U",0.496577696863599
"2019-2021",105,"M",0.581259081799208
"2019-2021",105,"F",0.522355739441144
"2019-2021",105,"U",0.523947001291367
"2019-2021",106,"M",0.613846986814965
"2019-2021",106,"F",0.550847642917367
"2019-2021",106,"U",0.551716863462649
"2019-2021",107,"M",0.647165967008265
"2019-2021",107,"F",0.579745249961675
"2019-2021",107,"U",0.579887283377446
"2019-2021",108,"M",NA
"2019-2021",108,"F",0.609048560574066
"2019-2021",108,"U",0.608458261035756
"2019-2021",109,"M",NA
"2019-2021",109,"F",0.638757574754542
"2019-2021",109,"U",0.63742979643758
"2019-2021",110,"M",NA
"2019-2021",110,"F",0.668872292503101
"2019-2021",110,"U",0.666801889582918
"2019-2021",111,"M",NA
"2019-2021",111,"F",0.699392713819745
"2019-2021",111,"U",0.69657454047177
"2018-2020",0,"M",0.00318471337579618
"2018-2020",0,"F",0.00264986265955728
"2018-2020",0,"U",0.00292416073044984
"2018-2020",1,"M",0.000241230563313373
"2018-2020",1,"F",0.000216298649615192
"2018-2020",1,"U",0.000229150211296554
"2018-2020",2,"M",0.000177213572504314
"2018-2020",2,"F",0.000136232952511661
"2018-2020",2,"U",0.000157308599675055
"2018-2020",3,"M",0.000133677520293199
"2018-2020",3,"F",9.14912447899265e-05
"2018-2020",3,"U",0.00011319473098192
"2018-2020",4,"M",0.000106110726788564
"2018-2020",4,"F",7.16671461130519e-05
"2018-2020",4,"U",8.94154125230496e-05
"2018-2020",5,"M",9.00015120979245e-05
"2018-2020",5,"F",6.63542761434906e-05
"2018-2020",5,"U",7.85774516033276e-05
"2018-2020",6,"M",8.08383093909775e-05
"2018-2020",6,"F",6.51465401608381e-05
"2018-2020",6,"U",7.32878530365489e-05
"2018-2020",7,"M",7.51560409570951e-05
"2018-2020",7,"F",6.02816902198101e-05
"2018-2020",7,"U",6.79818477361158e-05
"2018-2020",8,"M",7.30939515167393e-05
"2018-2020",8,"F",5.31034270501997e-05
"2018-2020",8,"U",6.33914509802424e-05
"2018-2020",9,"M",7.55666848371945e-05
"2018-2020",9,"F",4.69144170425279e-05
"2018-2020",9,"U",6.16033072905866e-05
"2018-2020",10,"M",8.34888846883592e-05
"2018-2020",10,"F",4.50173265895132e-05
"2018-2020",10,"U",6.47040611914292e-05
"2018-2020",11,"M",9.77751597187299e-05
"2018-2020",11,"F",5.07136414321242e-05
"2018-2020",11,"U",7.47797652654258e-05
"2018-2020",12,"M",0.00011929352315948
"2018-2020",12,"F",6.57381314951913e-05
"2018-2020",12,"U",9.31309749743214e-05
"2018-2020",13,"M",0.000148773536217669
"2018-2020",13,"F",8.71702836932653e-05
"2018-2020",13,"U",0.00011872424785864
"2018-2020",14,"M",0.000186919162478482
"2018-2020",14,"F",0.000111228894799403
"2018-2020",14,"U",0.00015009462119637
"2018-2020",15,"M",0.000234434365516987
"2018-2020",15,"F",0.000134132761578476
"2018-2020",15,"U",0.000185777132257439
"2018-2020",16,"M",0.000292017969727298
"2018-2020",16,"F",0.000152103964086877
"2018-2020",16,"U",0.000224305731777054
"2018-2020",17,"M",0.000358073488183799
"2018-2020",17,"F",0.000162830996939027
"2018-2020",17,"U",0.000263729091539208
"2018-2020",18,"M",0.000425103700367499
"2018-2020",18,"F",0.000167772179575359
"2018-2020",18,"U",0.000300848339341172
"2018-2020",19,"M",0.000484676244830808
"2018-2020",19,"F",0.000168983268601693
"2018-2020",19,"U",0.000332266893763569
"2018-2020",20,"M",0.000528358760123061
"2018-2020",20,"F",0.000168520020620652
"2018-2020",20,"U",0.000354588173384462
"2018-2020",21,"M",0.000547746026905051
"2018-2020",21,"F",0.000168436230007162
"2018-2020",21,"U",0.000364428794697304
"2018-2020",22,"M",0.000540186953826856
"2018-2020",22,"F",0.000170369699114378
"2018-2020",22,"U",0.000361203332546776
"2018-2020",23,"M",0.000515868669051562
"2018-2020",23,"F",0.00017503009714413
"2018-2020",23,"U",0.00035056897639342
"2018-2020",24,"M",0.000486715395983639
"2018-2020",24,"F",0.000183001510800412
"2018-2020",24,"U",0.000339027582369105
"2018-2020",25,"M",0.000464651358027841
"2018-2020",25,"F",0.000194868026787529
"2018-2020",25,"U",0.000333081006606009
"2018-2020",26,"M",0.000461547776749705
"2018-2020",26,"F",0.000211207416401448
"2018-2020",26,"U",0.000339200282666388
"2018-2020",27,"M",0.00048286265121747
"2018-2020",27,"F",0.000231833286574366
"2018-2020",27,"U",0.000360126913195435
"2018-2020",28,"M",0.000521598548376031
"2018-2020",28,"F",0.000255075123366243
"2018-2020",28,"U",0.000391359096990576
"2018-2020",29,"M",0.000569326985522256
"2018-2020",29,"F",0.00027909189682209
"2018-2020",29,"U",0.000427562823471163
"2018-2020",30,"M",0.000617619479952758
"2018-2020",30,"F",0.00030204257698668
"2018-2020",30,"U",0.00046340408205634
"2018-2020",31,"M",0.000658110724677604
"2018-2020",31,"F",0.000322108883839736
"2018-2020",31,"U",0.000493593624151161
"2018-2020",32,"M",0.00068732334105422
"2018-2020",32,"F",0.000339232708249681
"2018-2020",32,"U",0.00051630545258695
"2018-2020",33,"M",0.000710065328265193
"2018-2020",33,"F",0.000356339552916553
"2018-2020",33,"U",0.000535584021750628
"2018-2020",34,"M",0.000731947251038108
"2018-2020",34,"F",0.000376643928972685
"2018-2020",34,"U",0.000556042429035148
"2018-2020",35,"M",0.000758579674100573
"2018-2020",35,"F",0.000403360347550423
"2018-2020",35,"U",0.000582293771833381
"2018-2020",36,"M",0.000795538668726245
"2018-2020",36,"F",0.000439659502888105
"2018-2020",36,"U",0.000618908445775598
"2018-2020",37,"M",0.000846558878701593
"2018-2020",37,"F",0.000486372931377964
"2018-2020",37,"U",0.000668177219753411
"2018-2020",38,"M",0.000912644735652631
"2018-2020",38,"F",0.00054086399201191
"2018-2020",38,"U",0.00072901094969143
"2018-2020",39,"M",0.000994579732087229
"2018-2020",39,"F",0.000600215385718927
"2018-2020",39,"U",0.000800046976143815
"2018-2020",40,"M",0.0010931473605135
"2018-2020",40,"F",0.000661509813428117
"2018-2020",40,"U",0.000879922639664877
"2018-2020",41,"M",0.00120906879394679
"2018-2020",41,"F",0.000721896603410945
"2018-2020",41,"U",0.000967285352616034
"2018-2020",42,"M",0.00134064253512395
"2018-2020",42,"F",0.000781115221870396
"2018-2020",42,"U",0.00106117406885696
"2018-2020",43,"M",0.00148301995239969
"2018-2020",43,"F",0.000842269815794375
"2018-2020",43,"U",0.00116113636850159
"2018-2020",44,"M",0.00163114208584165
"2018-2020",44,"F",0.000908689399451651
"2018-2020",44,"U",0.00126675382401318
"2018-2020",45,"M",0.00177994997551716
"2018-2020",45,"F",0.000983702987110807
"2018-2020",45,"U",0.00137760800785486
"2018-2020",46,"M",0.00192473779941858
"2018-2020",46,"F",0.00107060867118691
"2018-2020",46,"U",0.00149342806755827
"2018-2020",47,"M",0.00207120156087469
"2018-2020",47,"F",0.00117179372797357
"2018-2020",47,"U",0.00161829003605294
"2018-2020",48,"M",0.00223688942455526
"2018-2020",48,"F",0.00128860762171796
"2018-2020",48,"U",0.00176122292186569
"2018-2020",49,"M",0.00243999431038256
"2018-2020",49,"F",0.00142234335989609
"2018-2020",49,"U",0.00193152517442473
"2018-2020",50,"M",0.00269870913827809
"2018-2020",50,"F",0.00157429394998341
"2018-2020",50,"U",0.00213849524315761
"2018-2020",51,"M",0.00303054999159634
"2018-2020",51,"F",0.00174571522380341
"2018-2020",51,"U",0.00239108906756403
"2018-2020",52,"M",0.00343746571262729
"2018-2020",52,"F",0.00193700797316537
"2018-2020",52,"U",0.00269038485878073
"2018-2020",53,"M",0.00390583790259838
"2018-2020",53,"F",0.00214771794986618
"2018-2020",53,"U",0.00302958309958341
"2018-2020",54,"M",0.00442137132616837
"2018-2020",54,"F",0.00237735373004934
"2018-2020",54,"U",0.00340154176281838
"2018-2020",55,"M",0.00496977074799653
"2018-2020",55,"F",0.00262542388985873
"2018-2020",55,"U",0.00379911882133236
"2018-2020",56,"M",0.00553768649920424
"2018-2020",56,"F",0.00289163854290152
"2018-2020",56,"U",0.00421569636129823
"2018-2020",57,"M",0.00612915071004048
"2018-2020",57,"F",0.00317941254893038
"2018-2020",57,"U",0.00465429093978316
"2018-2020",58,"M",0.00676345031815501
"2018-2020",58,"F",0.00349541216811457
"2018-2020",58,"U",0.00512637462509471
"2018-2020",59,"M",0.00746039015597603
"2018-2020",59,"F",0.00384641404440259
"2018-2020",59,"U",0.00564370654685833
"2018-2020",60,"M",0.00823977505593264
"2018-2020",60,"F",0.00423919482174348
"2018-2020",60,"U",0.00621804583470021
"2018-2020",61,"M",0.00912044120928823
"2018-2020",61,"F",0.00468044366431532
"2018-2020",61,"U",0.00686076117164881
"2018-2020",62,"M",0.0101067310654302
"2018-2020",62,"F",0.0051755407797302
"2018-2020",62,"U",0.00757737900275961
"2018-2020",63,"M",0.0111918297625491
"2018-2020",63,"F",0.00572885873824325
"2018-2020",63,"U",0.0083689284067275
"2018-2020",64,"M",0.0123686354340456
"2018-2020",64,"F",0.00634474419017792
"2018-2020",64,"U",0.0092363227743669
"2018-2020",65,"M",0.0136300462133207
"2018-2020",65,"F",0.00702754378585734
"2018-2020",65,"U",0.010180475496492
"2018-2020",66,"M",0.0149707127405043
"2018-2020",66,"F",0.00778206514534956
"2018-2020",66,"U",0.0112030725482761
"2018-2020",67,"M",0.0164069419166242
"2018-2020",67,"F",0.00861881223264835
"2018-2020",67,"U",0.012315346965778
"2018-2020",68,"M",0.017969646992604
"2018-2020",68,"F",0.0095521309858032
"2018-2020",68,"U",0.0135349709257945
"2018-2020",69,"M",0.019690014824195
"2018-2020",69,"F",0.0105964393103744
"2018-2020",69,"U",0.0148797372225249
"2018-2020",70,"M",0.0215992322671487
"2018-2020",70,"F",0.0117661551119223
"2018-2020",70,"U",0.0163674386501689
"2018-2020",71,"M",0.0237237285156266
"2018-2020",71,"F",0.0130731422028238
"2018-2020",71,"U",0.0180128854363492
"2018-2020",72,"M",0.0260408164964731
"2018-2020",72,"F",0.0145028969203461
"2018-2020",72,"U",0.0198000969391582
"2018-2020",73,"M",0.0284988331742543
"2018-2020",73,"F",0.0160253602062451
"2018-2020",73,"U",0.0216949275558159
"2018-2020",74,"M",0.0310457410037321
"2018-2020",74,"F",0.0176102719512101
"2018-2020",74,"U",0.0236629969042494
"2018-2020",75,"M",0.033629502439668
"2018-2020",75,"F",0.0192273720459297
"2018-2020",75,"U",0.0256699246023852
"2018-2020",76,"M",0.0362247808210843
"2018-2020",76,"F",0.0208687346949513
"2018-2020",76,"U",0.027704071864222
"2018-2020",77,"M",0.039038636072231
"2018-2020",77,"F",0.0227208253530666
"2018-2020",77,"U",0.0299517360177134
"2018-2020",78,"M",0.0423977876357102
"2018-2020",78,"F",0.0250702002890235
"2018-2020",78,"U",0.0327011304324672
"2018-2020",79,"M",0.0466299438757636
"2018-2020",79,"F",0.02820424296838
"2018-2020",79,"U",0.0362413107594274
"2018-2020",80,"M",0.0520628131566317
"2018-2020",80,"F",0.032410336856693
"2018-2020",80,"U",0.040861332649537
"2018-2020",81,"M",0.0589816571157824
"2018-2020",81,"F",0.0379411057011143
"2018-2020",81,"U",0.0468144350609256
"2018-2020",82,"M",0.0673580295506196
"2018-2020",82,"F",0.0447922772049512
"2018-2020",82,"U",0.0540891492063892
"2018-2020",83,"M",0.0770228794761087
"2018-2020",83,"F",0.0528444375042911
"2018-2020",83,"U",0.0625553635037757
"2018-2020",84,"M",0.0878064926771097
"2018-2020",84,"F",0.0619776296146216
"2018-2020",84,"U",0.0720824067351079
"2018-2020",85,"M",0.0995391549384823
"2018-2020",85,"F",0.0720718965514299
"2018-2020",85,"U",0.0825396076824084
"2018-2020",86,"M",0.112110592509771
"2018-2020",86,"F",0.0830655712591807
"2018-2020",86,"U",0.0938519092533102
"2018-2020",87,"M",0.125785600609724
"2018-2020",87,"F",0.0952647957782493
"2018-2020",87,"U",0.106295179148453
"2018-2020",88,"M",0.140974871579751
"2018-2020",88,"F",0.109118785272059
"2018-2020",88,"U",0.120281790409556
"2018-2020",89,"M",0.158089424423696
"2018-2020",89,"F",0.125077075243556
"2018-2020",89,"U",0.136224421712656
"2018-2020",90,"M",0.177540278145405
"2018-2020",90,"F",0.143589201195689
"2018-2020",90,"U",0.15453575173379
"2018-2020",91,"M",0.199552758316481
"2018-2020",91,"F",0.164904354484759
"2018-2020",91,"U",0.175442199190979
"2018-2020",92,"M",0.223347815744014
"2018-2020",92,"F",0.188188109223969
"2018-2020",92,"U",0.198162743824946
"2018-2020",93,"M",0.247808383149242
"2018-2020",93,"F",0.212241352719116
"2018-2020",93,"U",0.221577316042691
"2018-2020",94,"M",0.271817138529905
"2018-2020",94,"F",0.235864697455495
"2018-2020",94,"U",0.244565590750585
"2018-2020",95,"M",0.294256759883741
"2018-2020",95,"F",0.2578587559184
"2018-2020",95,"U",0.266007242854998
"2018-2020",96,"M",0.318702550256235
"2018-2020",96,"F",0.282061430744636
"2018-2020",96,"U",0.289487184905229
"2018-2020",97,"M",0.342696510409627
"2018-2020",97,"F",0.305834187182068
"2018-2020",97,"U",0.312540811195564
"2018-2020",98,"M",0.366797274053245
"2018-2020",98,"F",0.329776689542994
"2018-2020",98,"U",0.335728256897749
"2018-2020",99,"M",0.391004841187089
"2018-2020",99,"F",0.353888937827415
"2018-2020",99,"U",0.359049522011785
"2018-2020",100,"M",0.415319211811157
"2018-2020",100,"F",0.37817093203533
"2018-2020",100,"U",0.382504606537672
"2018-2020",101,"M",0.439740385925451
"2018-2020",101,"F",0.402622672166739
"2018-2020",101,"U",0.40609351047541
"2018-2020",102,"M",0.464268363529971
"2018-2020",102,"F",0.427244158221642
"2018-2020",102,"U",0.429816233824998
"2018-2020",103,"M",0.488903144624716
"2018-2020",103,"F",0.45203539020004
"2018-2020",103,"U",0.453672776586438
"2018-2020",104,"M",0.513644729209686
"2018-2020",104,"F",0.476996368101932
"2018-2020",104,"U",0.477663138759728
"2018-2020",105,"M",0.538493117284882
"2018-2020",105,"F",0.502127091927319
"2018-2020",105,"U",0.501787320344869
"2018-2020",106,"M",0.563448308850304
"2018-2020",106,"F",0.527427561676199
"2018-2020",106,"U",0.52604532134186
"2018-2020",107,"M",0.58851030390595
"2018-2020",107,"F",0.552897777348574
"2018-2020",107,"U",0.550437141750702
"2018-2020",108,"M",NA
"2018-2020",108,"F",0.578537738944443
"2018-2020",108,"U",0.574962781571396
"2018-2020",109,"M",NA
"2018-2020",109,"F",0.604347446463807
"2018-2020",109,"U",0.599622240803939
"2018-2020",110,"M",NA
"2018-2020",110,"F",0.630326899906665
"2018-2020",110,"U",0.624415519448334
"2018-2020",111,"M",NA
"2018-2020",111,"F",0.656476099273017
"2018-2020",111,"U",0.649342617504579
"2017-2019",0,"M",0.00311394943790574
"2017-2019",0,"F",0.00258185845996924
"2017-2019",0,"U",0.00285526111885945
"2017-2019",1,"M",0.000264467973672408
"2017-2019",1,"F",0.000199881757354868
"2017-2019",1,"U",0.000233214388599793
"2017-2019",2,"M",0.000188978955680685
"2017-2019",2,"F",0.000137553692160302
"2017-2019",2,"U",0.000163997245116311
"2017-2019",3,"M",0.00014108270856273
"2017-2019",3,"F",0.000101408691158462
"2017-2019",3,"U",0.00012180232399466
"2017-2019",4,"M",0.000113311416196638
"2017-2019",4,"F",8.36477294524909e-05
"2017-2019",4,"U",9.89488425721647e-05
"2017-2019",5,"M",9.81972624596356e-05
"2017-2019",5,"F",7.64717821450855e-05
"2017-2019",5,"U",8.77560181850957e-05
"2017-2019",6,"M",8.82726488585801e-05
"2017-2019",6,"F",7.20820529446024e-05
"2017-2019",6,"U",8.05432930391017e-05
"2017-2019",7,"M",7.80844438537342e-05
"2017-2019",7,"F",6.47958406751539e-05
"2017-2019",7,"U",7.17116102273928e-05
"2017-2019",8,"M",6.9117751838354e-05
"2017-2019",8,"F",5.62187082538586e-05
"2017-2019",8,"U",6.28310273460266e-05
"2017-2019",9,"M",6.43503021311983e-05
"2017-2019",9,"F",4.95241451926194e-05
"2017-2019",9,"U",5.70138958956027e-05
"2017-2019",10,"M",6.67598240543855e-05
"2017-2019",10,"F",4.78856410055429e-05
"2017-2019",10,"U",5.73725673798467e-05
"2017-2019",11,"M",7.9323263286152e-05
"2017-2019",11,"F",5.44754417864607e-05
"2017-2019",11,"U",6.70183762892342e-05
"2017-2019",12,"M",0.000103977681657539
"2017-2019",12,"F",7.08157837441729e-05
"2017-2019",12,"U",8.77130904264538e-05
"2017-2019",13,"M",0.000139570267511995
"2017-2019",13,"F",9.35261230832106e-05
"2017-2019",13,"U",0.000117208423681587
"2017-2019",14,"M",0.000184376939178503
"2017-2019",14,"F",0.000118319467482691
"2017-2019",14,"U",0.000152514692731133
"2017-2019",15,"M",0.000236673614975749
"2017-2019",15,"F",0.000140908824613057
"2017-2019",15,"U",0.000190642214242628
"2017-2019",16,"M",0.000294734396150763
"2017-2019",16,"F",0.000157011385001019
"2017-2019",16,"U",0.000228602388838039
"2017-2019",17,"M",0.000356021825104425
"2017-2019",17,"F",0.000164212525884704
"2017-2019",17,"U",0.000263890742453489
"2017-2019",18,"M",0.00041591210739821
"2017-2019",18,"F",0.000164900315944956
"2017-2019",18,"U",0.000295247379242502
"2017-2019",19,"M",0.000469450808527789
"2017-2019",19,"F",0.000162223948447041
"2017-2019",19,"U",0.000321609642575482
"2017-2019",20,"M",0.000511683493985133
"2017-2019",20,"F",0.000159332616653431
"2017-2019",20,"U",0.000341914875819675
"2017-2019",21,"M",0.000537670802633834
"2017-2019",21,"F",0.000159370097302857
"2017-2019",21,"U",0.000355105723387188
"2017-2019",22,"M",0.000545668928362054
"2017-2019",22,"F",0.000164331864431488
"2017-2019",22,"U",0.000361248651325179
"2017-2019",23,"M",0.000541063770362593
"2017-2019",23,"F",0.000173651377073613
"2017-2019",23,"U",0.000362917520170997
"2017-2019",24,"M",0.000530205923684128
"2017-2019",24,"F",0.000186415436843186
"2017-2019",24,"U",0.000363025457370134
"2017-2019",25,"M",0.000519445983375692
"2017-2019",25,"F",0.000201710845354495
"2017-2019",25,"U",0.000364485590368401
"2017-2019",26,"M",0.000515114540373907
"2017-2019",26,"F",0.000218625231738022
"2017-2019",26,"U",0.000370200629890262
"2017-2019",27,"M",0.00052112168806925
"2017-2019",27,"F",0.000236346354629107
"2017-2019",27,"U",0.000381812863420781
"2017-2019",28,"M",0.000536676553542969
"2017-2019",28,"F",0.000254256439056427
"2017-2019",28,"U",0.000398516649012666
"2017-2019",29,"M",0.000560448152853775
"2017-2019",29,"F",0.000271760052996114
"2017-2019",29,"U",0.000419225093252091
"2017-2019",30,"M",0.000591105502060147
"2017-2019",30,"F",0.000288261764424108
"2017-2019",30,"U",0.000442851302725027
"2017-2019",31,"M",0.000627315969626455
"2017-2019",31,"F",0.000303183098264325
"2017-2019",31,"U",0.000468317051466757
"2017-2019",32,"M",0.000667619449052161
"2017-2019",32,"F",0.000317257544786116
"2017-2019",32,"U",0.000495214717274025
"2017-2019",33,"M",0.000710339754922508
"2017-2019",33,"F",0.000333442466583941
"2017-2019",33,"U",0.000524273397866267
"2017-2019",34,"M",0.000753779771275823
"2017-2019",34,"F",0.000354910642295265
"2017-2019",34,"U",0.000556332299670733
"2017-2019",35,"M",0.000796242382150351
"2017-2019",35,"F",0.000384834850557511
"2017-2019",35,"U",0.000592230629114588
