DAV 2008T R/NR Männer,,,,,,,,,,DAV 2008T R/NR Frauen,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Alter,Raucheranteil,Raucher- übersterblichkeit,Nichtraucher- faktor,Sterblichkeit 2. Ordnung,,,Sterblichkeit 1. Ordnung,,,Alter,Raucheranteil,Raucher- übersterblichkeit,Nichtraucher- faktor,Sterblichkeit 2. Ordnung,,,Sterblichkeit 1. Ordnung,,
,,,,Aggregat, Nichtraucher,Raucher,Aggregat (Zuschlag 34%),Nichtraucher (Zuschlag 45%),Raucher (Zuschlag 45%),,,,,Aggregat, Nichtraucher,Raucher,Aggregat (Zuschlag 34%),Nichtraucher (Zuschlag 45%),Raucher (Zuschlag 45%)
0,0%,100%,1,0.004562,0.004562,0.004562,0.006113,0.006113,0.006615,0,0%,100%,1,0.003797,0.003797,0.003797,0.005088,0.005088,0.005506
1,0%,100%,1,0.000316,0.000316,0.000316,0.000423,0.000423,0.000458,1,0%,100%,1,0.000289,0.000289,0.000289,0.000387,0.000387,0.000419
2,0%,100%,1,0.000256,0.000256,0.000256,0.000343,0.000343,0.000371,2,0%,100%,1,0.000237,0.000237,0.000237,0.000318,0.000318,0.000344
3,0%,100%,1,0.000205,0.000205,0.000205,0.000275,0.000275,0.000297,3,0%,100%,1,0.00019,0.00019,0.00019,0.000255,0.000255,0.000276
4,0%,100%,1,0.000164,0.000164,0.000164,0.00022,0.00022,0.000238,4,0%,100%,1,0.000151,0.000151,0.000151,0.000202,0.000202,0.000219
5,0%,100%,1,0.000136,0.000136,0.000136,0.000182,0.000182,0.000197,5,0%,100%,1,0.000122,0.000122,0.000122,0.000163,0.000163,0.000177
6,0%,100%,1,0.000116,0.000116,0.000116,0.000155,0.000155,0.000168,6,0%,100%,1,0.0001,0.0001,0.0001,0.000134,0.000134,0.000145
7,0%,100%,1,0.000104,0.000104,0.000104,0.000139,0.000139,0.000151,7,0%,100%,1,0.000086,0.000086,0.000086,0.000115,0.000115,0.000125
8,0%,101.7%,1,0.000096,0.000096,0.000098,0.000129,0.000129,0.000142,8,0%,100.3%,1,0.000078,0.000078,0.000078,0.000105,0.000105,0.000113
9,0%,103.4%,1,0.000093,0.000093,0.000096,0.000125,0.000125,0.000139,9,0%,101.5%,1,0.000074,0.000074,0.000075,0.000099,0.000099,0.000109
10,0%,105.1%,1,0.000096,0.000096,0.000101,0.000129,0.000129,0.000146,10,0%,103.3%,1,0.000076,0.000076,0.000079,0.000102,0.000102,0.000115
11,0%,106.6%,1,0.000107,0.000107,0.000114,0.000143,0.000143,0.000165,11,0%,105.8%,1,0.000083,0.000083,0.000088,0.000111,0.000111,0.000128
12,0%,108.1%,1,0.000129,0.000129,0.000139,0.000173,0.000173,0.000202,12,0%,108.8%,1,0.000095,0.000095,0.000103,0.000127,0.000127,0.000149
13,0%,109.5%,1,0.000166,0.000166,0.000182,0.000222,0.000222,0.000264,13,0%,112.3%,1,0.000114,0.000114,0.000128,0.000153,0.000153,0.000186
14,0%,110.7%,1,0.000226,0.000226,0.00025,0.000303,0.000303,0.000363,14,0%,116.2%,1,0.00014,0.00014,0.000163,0.000188,0.000188,0.000236
15,4.6%,111.7%,0.994647,0.000311,0.000309,0.000346,0.000417,0.000417,0.000502,15,4.7%,120.3%,0.990549,0.00017,0.000168,0.000203,0.000228,0.000228,0.000294
16,11.2%,112.4%,0.986302,0.000416,0.00041,0.000461,0.000557,0.000557,0.000668,16,10.2%,124.2%,0.975911,0.000202,0.000197,0.000245,0.000271,0.000271,0.000355
17,16.8%,112.9%,0.978788,0.000529,0.000518,0.000585,0.000709,0.000709,0.000848,17,14.9%,127.9%,0.960088,0.000231,0.000222,0.000284,0.00031,0.00031,0.000412
18,21.6%,112.9%,0.972891,0.000634,0.000617,0.000696,0.00085,0.00085,0.001009,18,18.8%,131%,0.94493,0.000242,0.000229,0.0003,0.000324,0.000324,0.000435
19,25.5%,112.6%,0.96887,0.000711,0.000689,0.000776,0.000953,0.000953,0.001125,19,21.9%,133.4%,0.93184,0.000246,0.000229,0.000306,0.00033,0.00033,0.000444
20,28.6%,112.1%,0.966552,0.000755,0.00073,0.000818,0.001012,0.001012,0.001186,20,24.2%,135%,0.921914,0.000245,0.000226,0.000305,0.000328,0.000328,0.000442
21,30.8%,111.4%,0.966079,0.000763,0.000737,0.000821,0.001022,0.001022,0.00119,21,25.7%,135.9%,0.91553,0.00024,0.00022,0.000299,0.000322,0.000319,0.000434
22,32.3%,110.9%,0.96599,0.000749,0.000724,0.000802,0.001004,0.001004,0.001163,22,26.5%,136.5%,0.911806,0.000234,0.000213,0.000291,0.000314,0.000309,0.000422
23,33%,111%,0.964972,0.000719,0.000694,0.00077,0.000963,0.000963,0.001117,23,26.6%,137.2%,0.909958,0.000227,0.000207,0.000283,0.000304,0.0003,0.00041
24,33.2%,112%,0.961686,0.00068,0.000654,0.000732,0.000911,0.000911,0.001061,24,26.2%,138.8%,0.907724,0.000222,0.000202,0.00028,0.000297,0.000293,0.000406
25,33%,114.5%,0.954335,0.000639,0.00061,0.000698,0.000856,0.000856,0.001012,25,25.5%,141.8%,0.903677,0.000219,0.000198,0.000281,0.000293,0.000287,0.000407
26,32.6%,118.7%,0.942541,0.000603,0.000568,0.000675,0.000808,0.000808,0.000979,26,24.7%,147%,0.895985,0.000218,0.000195,0.000287,0.000292,0.000283,0.000416
27,32.2%,124.9%,0.925773,0.000576,0.000533,0.000666,0.000772,0.000772,0.000966,27,23.7%,154.4%,0.885796,0.000218,0.000193,0.000298,0.000292,0.00028,0.000432
28,31.7%,132.9%,0.905557,0.000561,0.000508,0.000675,0.000752,0.000737,0.000979,28,22.9%,164.2%,0.871826,0.000221,0.000193,0.000316,0.000296,0.00028,0.000458
29,31.4%,142.5%,0.882262,0.000556,0.000491,0.000699,0.000745,0.000712,0.001014,29,22.3%,175.7%,0.85557,0.000225,0.000193,0.000338,0.000302,0.00028,0.00049
30,31.1%,152.9%,0.858724,0.000561,0.000482,0.000737,0.000752,0.000699,0.001069,30,21.9%,188%,0.83842,0.000232,0.000195,0.000366,0.000311,0.000283,0.000531
31,31%,163.5%,0.835527,0.000573,0.000479,0.000783,0.000768,0.000695,0.001135,31,21.7%,200.3%,0.821253,0.000244,0.0002,0.000401,0.000327,0.00029,0.000581
32,30.9%,173.7%,0.814509,0.00059,0.000481,0.000835,0.000791,0.000697,0.001211,32,21.7%,211.6%,0.805041,0.000262,0.000211,0.000446,0.000351,0.000306,0.000647
33,30.8%,183.2%,0.796016,0.000612,0.000487,0.000892,0.00082,0.000706,0.001293,33,21.9%,221.1%,0.790383,0.000288,0.000228,0.000503,0.000386,0.000331,0.000729
34,30.8%,191.6%,0.779953,0.000638,0.000498,0.000953,0.000855,0.000722,0.001382,34,22.2%,228.6%,0.777912,0.000323,0.000251,0.000574,0.000433,0.000364,0.000832
35,30.8%,199.2%,0.765969,0.000668,0.000512,0.001019,0.000895,0.000742,0.001478,35,22.6%,234%,0.767554,0.000366,0.000281,0.000657,0.00049,0.000407,0.000953
36,30.8%,206%,0.753875,0.000705,0.000531,0.001095,0.000945,0.00077,0.001588,36,23.1%,237.7%,0.758675,0.000414,0.000314,0.000747,0.000555,0.000455,0.001083
37,30.8%,212.3%,0.743006,0.00075,0.000557,0.001183,0.001005,0.000808,0.001715,37,23.7%,240%,0.750863,0.000466,0.00035,0.00084,0.000624,0.000508,0.001218
38,30.9%,218.3%,0.732307,0.000808,0.000592,0.001292,0.001083,0.000858,0.001873,38,24.2%,241.2%,0.745321,0.000523,0.00039,0.00094,0.000701,0.000566,0.001363
39,31%,224.2%,0.722011,0.000881,0.000636,0.001426,0.001181,0.000922,0.002068,39,24.8%,241.7%,0.739965,0.000584,0.000432,0.001044,0.000783,0.000626,0.001514
40,31.1%,230%,0.712099,0.000971,0.000691,0.00159,0.001301,0.001002,0.002306,40,25.3%,241.7%,0.736105,0.000651,0.000479,0.001158,0.000872,0.000695,0.001679
41,31.3%,235.6%,0.702036,0.00108,0.000758,0.001786,0.001447,0.001099,0.00259,41,25.7%,241.4%,0.733462,0.000725,0.000532,0.001284,0.000972,0.000771,0.001862
42,31.5%,240.9%,0.6926,0.001211,0.000839,0.002021,0.001623,0.001217,0.00293,42,26%,241.1%,0.731604,0.000809,0.000592,0.001427,0.001084,0.000858,0.002069
43,31.7%,245.9%,0.683759,0.001368,0.000935,0.0023,0.001833,0.001356,0.003335,43,26.2%,240.7%,0.730656,0.000905,0.000661,0.001592,0.001213,0.000958,0.002308
44,31.7%,250.5%,0.677009,0.001554,0.001052,0.002635,0.002082,0.001525,0.003821,44,26.3%,240.5%,0.730186,0.001014,0.00074,0.001781,0.001359,0.001073,0.002582
45,31.7%,254.5%,0.671247,0.001764,0.001184,0.003013,0.002364,0.001717,0.004369,45,26.2%,240.5%,0.730935,0.001137,0.000831,0.001999,0.001524,0.001205,0.002899
46,31.4%,257.8%,0.668676,0.001992,0.001332,0.003434,0.002669,0.001931,0.004979,46,25.9%,240.7%,0.732916,0.001273,0.000933,0.002246,0.001706,0.001353,0.003257
47,30.9%,260.6%,0.668336,0.002226,0.001488,0.003877,0.002983,0.002158,0.005622,47,25.4%,241.2%,0.736026,0.00142,0.001045,0.002521,0.001903,0.001515,0.003655
48,30.1%,262.7%,0.671264,0.002464,0.001654,0.004345,0.003302,0.002398,0.0063,48,24.7%,242%,0.740335,0.001574,0.001165,0.00282,0.002109,0.001689,0.004089
49,29.2%,264.3%,0.675787,0.002709,0.001831,0.004839,0.00363,0.002655,0.007017,49,23.8%,243.2%,0.745814,0.001734,0.001293,0.003145,0.002324,0.001875,0.00456
50,28.3%,265.4%,0.681161,0.002971,0.002024,0.005371,0.003981,0.002935,0.007788,50,22.9%,244.8%,0.750981,0.0019,0.001427,0.003493,0.002546,0.002069,0.005065
51,27.3%,266.2%,0.687888,0.003262,0.002244,0.005973,0.004371,0.003254,0.008661,51,21.9%,246.8%,0.75672,0.002076,0.001571,0.003877,0.002782,0.002278,0.005622
52,26.5%,266.7%,0.693599,0.003591,0.002491,0.006643,0.004812,0.003612,0.009632,52,20.9%,249.1%,0.762417,0.002265,0.001727,0.004302,0.003035,0.002504,0.006238
53,25.7%,267%,0.699697,0.003961,0.002771,0.0074,0.005308,0.004018,0.01073,53,20%,251.8%,0.767106,0.002467,0.001892,0.004765,0.003306,0.002743,0.006909
54,25.1%,267.3%,0.704264,0.004371,0.003078,0.008228,0.005857,0.004463,0.011931,54,19.1%,254.8%,0.771803,0.002681,0.002069,0.005272,0.003593,0.003,0.007644
55,24.5%,267.6%,0.708908,0.004821,0.003418,0.009146,0.00646,0.004956,0.013262,55,18.2%,258.1%,0.776553,0.002909,0.002259,0.00583,0.003898,0.003276,0.008454
56,23.8%,267.9%,0.714489,0.005311,0.003795,0.010166,0.007117,0.005503,0.014741,56,17.2%,261.6%,0.782502,0.003155,0.002469,0.006458,0.004228,0.00358,0.009364
57,22.9%,268.2%,0.721929,0.005844,0.004219,0.011315,0.007831,0.006118,0.016407,57,16.3%,265.2%,0.787851,0.003422,0.002696,0.00715,0.004585,0.003909,0.010368
58,21.9%,268.6%,0.730335,0.006421,0.004689,0.012596,0.008604,0.006799,0.018264,58,15.3%,268.8%,0.794746,0.003712,0.00295,0.00793,0.004974,0.004278,0.011499
59,20.7%,269%,0.740834,0.007055,0.005227,0.01406,0.009454,0.007579,0.020387,59,14.2%,272.4%,0.803337,0.004031,0.003238,0.008821,0.005402,0.004695,0.01279
60,19.4%,269.2%,0.752871,0.007764,0.005845,0.015736,0.010404,0.008475,0.022817,60,13.1%,275.7%,0.812898,0.004391,0.003569,0.009841,0.005884,0.005175,0.014269
61,18.1%,269.3%,0.765443,0.008585,0.006571,0.017697,0.011504,0.009528,0.025661,61,12.1%,278.8%,0.822133,0.004813,0.003957,0.011032,0.006449,0.005738,0.015996
62,16.9%,269.1%,0.777739,0.009566,0.00744,0.020021,0.012818,0.010788,0.02903,62,11.1%,281.5%,0.832317,0.005318,0.004426,0.01246,0.007126,0.006418,0.018067
63,15.9%,268.6%,0.788598,0.010768,0.008492,0.022809,0.014429,0.012313,0.033073,63,10.2%,283.6%,0.842267,0.005922,0.004988,0.014146,0.007935,0.007233,0.020512
64,15.1%,267.5%,0.798132,0.01225,0.009777,0.026154,0.016415,0.014177,0.037923,64,9.5%,285.2%,0.850384,0.00664,0.005647,0.016104,0.008898,0.008188,0.023351
65,14.3%,266%,0.808159,0.014054,0.011358,0.030212,0.018832,0.016469,0.043807,65,8.8%,286%,0.859343,0.007481,0.006429,0.018386,0.010025,0.009322,0.02666
66,13.7%,263.9%,0.816631,0.016197,0.013227,0.034906,0.021704,0.019179,0.050614,66,8.2%,286.1%,0.867602,0.00845,0.007331,0.020975,0.011323,0.01063,0.030414
67,13.2%,261.1%,0.824639,0.018669,0.015395,0.040197,0.025016,0.022323,0.058286,67,7.6%,285.4%,0.876498,0.00955,0.008371,0.02389,0.012797,0.012138,0.034641
68,12.6%,257.7%,0.834236,0.021446,0.017891,0.046105,0.028738,0.025942,0.066852,68,7.1%,283.8%,0.884566,0.010791,0.009545,0.02709,0.01446,0.01384,0.039281
69,12.1%,253.7%,0.843187,0.024494,0.020653,0.052397,0.032822,0.029947,0.075976,69,6.6%,281.3%,0.89313,0.012188,0.010885,0.030621,0.016332,0.015783,0.0444
70,11.6%,249.1%,0.852547,0.027775,0.023679,0.058986,0.037219,0.034335,0.08553,70,6.1%,278%,0.902055,0.013761,0.012413,0.034509,0.01844,0.017999,0.050038
71,11%,243.9%,0.863342,0.031254,0.026983,0.065811,0.04188,0.039125,0.095426,71,5.6%,273.8%,0.911305,0.015532,0.014154,0.038755,0.020813,0.020523,0.056195
72,10.5%,238.2%,0.873279,0.034774,0.030367,0.072335,0.046597,0.044032,0.104886,72,5.2%,268.8%,0.919307,0.017519,0.016105,0.043291,0.023475,0.023352,0.062772
73,10%,232.1%,0.883314,0.038195,0.033738,0.078306,0.051181,0.04892,0.113544,73,4.8%,263%,0.927437,0.020175,0.018711,0.04921,0.027035,0.027035,0.071355
74,9.5%,225.6%,0.8934,0.041873,0.037409,0.084395,0.05611,0.054243,0.122373,74,4.5%,256.4%,0.934248,0.022696,0.021204,0.054366,0.030413,0.030413,0.078831
75,9.1%,218.8%,0.902439,0.045878,0.041402,0.090588,0.061477,0.060033,0.131353,75,4.2%,249.2%,0.941031,0.025587,0.024078,0.060003,0.034287,0.034287,0.087004
76,8.7%,211.7%,0.911428,0.050323,0.045866,0.097098,0.067433,0.066506,0.140792,76,3.9%,241.4%,0.947736,0.028917,0.027406,0.066157,0.038749,0.038749,0.095928
77,8.4%,204.5%,0.919304,0.055343,0.050877,0.104044,0.07416,0.073772,0.150864,77,3.6%,233.2%,0.954242,0.032789,0.031289,0.072965,0.043937,0.043937,0.105799
78,8.1%,197.3%,0.926945,0.061049,0.056589,0.11165,0.081806,0.081806,0.161893,78,3.5%,224.5%,0.958244,0.037308,0.03575,0.080259,0.049993,0.049993,0.116376
79,7.9%,190%,0.93362,0.067521,0.063039,0.119774,0.090478,0.090478,0.173672,79,3.3%,215.5%,0.963284,0.042555,0.040993,0.088339,0.057024,0.057024,0.128092
80,7.7%,182.8%,0.940065,0.074822,0.070338,0.128577,0.100261,0.100261,0.186437,80,3.2%,206.3%,0.967103,0.048592,0.046993,0.096948,0.065113,0.065113,0.140575
81,7.5%,175.8%,0.946208,0.08298,0.078516,0.138032,0.111193,0.111193,0.200146,81,3.1%,197.1%,0.970779,0.055439,0.053819,0.106077,0.074288,0.074288,0.153812
82,7.4%,169%,0.95142,0.092002,0.087533,0.14793,0.123283,0.123283,0.214499,82,3%,187.9%,0.974308,0.063127,0.061505,0.115568,0.08459,0.08459,0.167574
83,7.3%,162.5%,0.956366,0.101864,0.097419,0.158306,0.136498,0.136498,0.229544,83,3%,178.8%,0.976906,0.071713,0.070057,0.125262,0.096095,0.096095,0.18163
84,7.2%,156.3%,0.961043,0.112602,0.108215,0.169141,0.150887,0.150887,0.245254,84,2.9%,169.9%,0.980132,0.081364,0.079747,0.135491,0.109028,0.109028,0.196462
85,7.2%,150.5%,0.964916,0.124254,0.119895,0.180441,0.1665,0.1665,0.261639,85,2.9%,161.4%,0.982506,0.092247,0.090633,0.146282,0.123611,0.123611,0.212109
86,7.2%,145%,0.968617,0.136824,0.13253,0.192169,0.183344,0.183344,0.278645,86,2.9%,153.2%,0.984806,0.104494,0.102906,0.157652,0.140022,0.140022,0.228595
87,7.1%,140%,0.972384,0.150241,0.146092,0.204529,0.201323,0.201323,0.296567,87,2.9%,145.5%,0.986977,0.118102,0.116564,0.169601,0.158257,0.158257,0.245921
88,7.1%,135.3%,0.97555,0.164391,0.160372,0.216983,0.220284,0.220284,0.314625,88,3%,138.3%,0.988641,0.132974,0.131464,0.181814,0.178185,0.178185,0.26363
89,7.1%,131.1%,0.978396,0.179159,0.175288,0.229803,0.240073,0.240073,0.333214,89,3%,131.6%,0.990609,0.149007,0.147608,0.194252,0.199669,0.199669,0.281665
90,7.1%,127.2%,0.981054,0.194445,0.190761,0.242648,0.260556,0.260556,0.35184,90,3%,125.4%,0.992438,0.166048,0.164792,0.20665,0.222504,0.222504,0.299643
91,7.1%,123.7%,0.983451,0.210151,0.206673,0.255655,0.281602,0.281602,0.3707,91,3.1%,119.9%,0.993869,0.18392,0.182792,0.219168,0.246453,0.246453,0.317794
92,7.1%,120.5%,0.985654,0.226178,0.222933,0.268635,0.303079,0.303079,0.389521,92,3.1%,114.9%,0.995402,0.202384,0.201453,0.23147,0.271195,0.271195,0.335632
93,7.1%,117.7%,0.987589,0.242442,0.239433,0.281813,0.324872,0.324872,0.408629,93,3.1%,110.6%,0.996725,0.220585,0.219863,0.243168,0.295584,0.295584,0.352594
94,7.1%,115.1%,0.989393,0.258871,0.256125,0.2948,0.346887,0.346887,0.42746,94,3.2%,106.8%,0.997829,0.23833,0.237813,0.253984,0.319362,0.319362,0.368277
95,7.1%,112.8%,0.990994,0.275411,0.272931,0.307866,0.369051,0.369051,0.446406,95,3.2%,103.7%,0.998817,0.256299,0.255996,0.265468,0.343441,0.343441,0.384929
96,7.1%,110.8%,0.99239,0.292019,0.289797,0.321095,0.391305,0.391305,0.465588,96,3.2%,100%,1,0.274491,0.274491,0.274491,0.367818,0.367818,0.398012
97,7%,108.9%,0.993809,0.308909,0.306997,0.334319,0.413938,0.413938,0.484763,97,3.3%,100%,1,0.292905,0.292905,0.292905,0.392493,0.392493,0.424712
98,7%,107.3%,0.994916,0.326353,0.324694,0.348396,0.437313,0.437313,0.505174,98,3.3%,100%,1,0.311537,0.311537,0.311537,0.41746,0.41746,0.451729
99,6.9%,105.8%,0.996014,0.344105,0.342733,0.362612,0.461101,0.461101,0.525787,99,3.3%,100%,1,0.330385,0.330385,0.330385,0.442716,0.442716,0.479058
100,6.8%,104.5%,0.996949,0.362167,0.361062,0.37731,0.485304,0.485304,0.5471,100,3.3%,100%,1,0.349446,0.349446,0.349446,0.468258,0.468258,0.506697
101,6.7%,103.4%,0.997727,0.38054,0.379675,0.392584,0.509924,0.509924,0.569247,101,3.2%,100%,1,0.368713,0.368713,0.368713,0.494075,0.494075,0.534634
102,6.6%,102.5%,0.998353,0.399222,0.398564,0.408529,0.534957,0.534957,0.592367,102,3.2%,100%,1,0.388182,0.388182,0.388182,0.520164,0.520164,0.562864
103,6.4%,101.7%,0.998913,0.418214,0.417759,0.424861,0.560407,0.560407,0.616048,103,3.2%,100%,1,0.407846,0.407846,0.407846,0.546514,0.546514,0.591377
104,6.2%,101.1%,0.999318,0.437511,0.437213,0.442022,0.586265,0.586265,0.640932,104,3.1%,100%,1,0.427697,0.427697,0.427697,0.573114,0.573114,0.620161
105,6.1%,100.7%,0.999573,0.457111,0.456916,0.460114,0.612529,0.612529,0.667165,105,3%,100%,1,0.447726,0.447726,0.447726,0.599953,0.599953,0.649203
106,5.8%,100%,1,0.477006,0.477006,0.477006,0.639188,0.639188,0.691659,106,2.9%,100%,1,0.467921,0.467921,0.467921,0.627014,0.627014,0.678485
107,5.6%,100%,1,0.497189,0.497189,0.497189,0.666233,0.666233,0.720924,107,2.8%,100%,1,0.488271,0.488271,0.488271,0.654283,0.654283,0.707993
108,5.3%,100%,1,0.51765,0.51765,0.51765,0.693651,0.693651,0.750593,108,2.7%,100%,1,0.508762,0.508762,0.508762,0.681741,0.681741,0.737705
109,5%,100%,1,0.538377,0.538377,0.538377,0.721425,0.721425,0.780647,109,2.6%,100%,1,0.529376,0.529376,0.529376,0.709364,0.709364,0.767595
110,4.7%,100%,1,0.559353,0.559353,0.559353,0.749533,0.749533,0.811062,110,2.4%,100%,1,0.550097,0.550097,0.550097,0.73713,0.73713,0.797641
111,4.4%,100%,1,0.58056,0.58056,0.58056,0.77795,0.77795,0.841812,111,2.3%,100%,1,0.570904,0.570904,0.570904,0.765011,0.765011,0.827811
112,4%,100%,1,0.601975,0.601975,0.601975,0.806647,0.806647,0.872864,112,2.1%,100%,1,0.591772,0.591772,0.591772,0.792974,0.792974,0.858069
113,3.6%,100%,1,0.623571,0.623571,0.623571,0.835585,0.835585,0.904178,113,1.9%,100%,1,0.612677,0.612677,0.612677,0.820987,0.820987,0.888382
114,3.2%,100%,1,0.645315,0.645315,0.645315,0.864722,0.864722,0.935707,114,1.7%,100%,1,0.633589,0.633589,0.633589,0.849009,0.849009,0.918704
115,2.7%,100%,1,0.66717,0.66717,0.66717,0.894008,0.894008,0.967397,115,1.4%,100%,1,0.654476,0.654476,0.654476,0.876998,0.876998,0.94899
116,2.2%,100%,1,0.689091,0.689091,0.689091,0.923382,0.923382,0.999182,116,1.2%,100%,1,0.675302,0.675302,0.675302,0.904905,0.904905,0.979188
117,1.7%,100%,1,0.711028,0.711028,0.711028,0.952778,0.952778,1,117,0.9%,100%,1,0.696026,0.696026,0.696026,0.932675,0.932675,1
118,1.2%,100%,1,0.73292,0.73292,0.73292,0.982113,0.982113,1,118,0.6%,100%,1,0.716604,0.716604,0.716604,0.960249,0.960249,1
119,0.6%,100%,1,0.754701,0.754701,0.754701,1,1,1,119,0.3%,100%,1,0.736988,0.736988,0.736988,0.987564,0.987564,1
120,0%,100%,1,0.776292,0.776292,0.776292,1,1,1,120,0%,100%,1,0.757123,0.757123,0.757123,1,1,1
121,0%,100%,1,1,1,1,1,1,1,121,0%,100%,1,1,1,1,1,1,1
